Step 0: {'loss': 129055.1953125, 'mse_loss': 129055.1953125, 'sparsity_loss': 0.0, 'l0': 32760.8359375, 'dead_features': 0}
Step 100: {'loss': 123543.4609375, 'mse_loss': 7821.423828125, 'sparsity_loss': 115722.0390625, 'l0': 30446.572265625, 'dead_features': 0}
Step 200: {'loss': 211292.0625, 'mse_loss': 6468.7646484375, 'sparsity_loss': 204823.296875, 'l0': 28643.298828125, 'dead_features': 0}
Step 300: {'loss': 239880.828125, 'mse_loss': 5413.75537109375, 'sparsity_loss': 234467.078125, 'l0': 25024.91015625, 'dead_features': 0}
Step 400: {'loss': 209198.0, 'mse_loss': 3584.70068359375, 'sparsity_loss': 205613.296875, 'l0': 20298.72265625, 'dead_features': 0}
Step 500: {'loss': 148253.265625, 'mse_loss': 2909.82861328125, 'sparsity_loss': 145343.4375, 'l0': 15269.5732421875, 'dead_features': 0}
Step 600: {'loss': 126497.4296875, 'mse_loss': 4595.76318359375, 'sparsity_loss': 121901.6640625, 'l0': 12768.9423828125, 'dead_features': 0}
Step 700: {'loss': 97100.6875, 'mse_loss': 2358.55517578125, 'sparsity_loss': 94742.1328125, 'l0': 10425.6103515625, 'dead_features': 0}
Step 800: {'loss': 100035.6875, 'mse_loss': 2299.06591796875, 'sparsity_loss': 97736.625, 'l0': 9906.18359375, 'dead_features': 0}
Step 900: {'loss': 66686.09375, 'mse_loss': 2383.83203125, 'sparsity_loss': 64302.26171875, 'l0': 7580.26220703125, 'dead_features': 0}
Step 1000: {'loss': 86835.7265625, 'mse_loss': 7869.8779296875, 'sparsity_loss': 78965.8515625, 'l0': 7968.12451171875, 'dead_features': 0}
Step 1100: {'loss': 77807.0859375, 'mse_loss': 1528.4124755859375, 'sparsity_loss': 76278.671875, 'l0': 7468.1806640625, 'dead_features': 0}
Step 1200: {'loss': 90968.890625, 'mse_loss': 11054.0068359375, 'sparsity_loss': 79914.8828125, 'l0': 7319.0810546875, 'dead_features': 0}
Step 1300: {'loss': 84570.71875, 'mse_loss': 7824.8662109375, 'sparsity_loss': 76745.8515625, 'l0': 6892.27880859375, 'dead_features': 0}
Step 1400: {'loss': 73881.890625, 'mse_loss': 1387.7318115234375, 'sparsity_loss': 72494.15625, 'l0': 6456.24365234375, 'dead_features': 0}
Step 1500: {'loss': 79203.375, 'mse_loss': 1392.4891357421875, 'sparsity_loss': 77810.8828125, 'l0': 6461.982421875, 'dead_features': 1}
Step 1600: {'loss': 70092.4375, 'mse_loss': 1250.614501953125, 'sparsity_loss': 68841.8203125, 'l0': 5886.93359375, 'dead_features': 0}
Step 1700: {'loss': 58564.6796875, 'mse_loss': 3264.9677734375, 'sparsity_loss': 55299.7109375, 'l0': 5121.3125, 'dead_features': 0}
Step 1800: {'loss': 77748.7890625, 'mse_loss': 4034.809326171875, 'sparsity_loss': 73713.9765625, 'l0': 5743.78955078125, 'dead_features': 0}
Step 1900: {'loss': 79217.2890625, 'mse_loss': 1086.198974609375, 'sparsity_loss': 78131.09375, 'l0': 5755.61669921875, 'dead_features': 3}
Step 2000: {'loss': 74760.328125, 'mse_loss': 2252.9013671875, 'sparsity_loss': 72507.4296875, 'l0': 5405.4404296875, 'dead_features': 7}
Step 2100: {'loss': 59585.11328125, 'mse_loss': 2068.8203125, 'sparsity_loss': 57516.29296875, 'l0': 4816.5107421875, 'dead_features': 9}
Step 2200: {'loss': 78368.03125, 'mse_loss': 846.3218383789062, 'sparsity_loss': 77521.7109375, 'l0': 5588.5439453125, 'dead_features': 11}
Step 2300: {'loss': 74805.46875, 'mse_loss': 2155.1171875, 'sparsity_loss': 72650.3515625, 'l0': 5410.74560546875, 'dead_features': 14}
Step 2400: {'loss': 71616.4453125, 'mse_loss': 2336.290283203125, 'sparsity_loss': 69280.15625, 'l0': 5284.224609375, 'dead_features': 18}
Step 2500: {'loss': 48304.67578125, 'mse_loss': 1975.582763671875, 'sparsity_loss': 46329.09375, 'l0': 4324.8388671875, 'dead_features': 23}
Step 2600: {'loss': 59825.9609375, 'mse_loss': 813.759521484375, 'sparsity_loss': 59012.203125, 'l0': 4878.4853515625, 'dead_features': 33}
Step 2700: {'loss': 42508.28125, 'mse_loss': 2200.7646484375, 'sparsity_loss': 40307.515625, 'l0': 4035.34619140625, 'dead_features': 44}
Step 2800: {'loss': 55099.9609375, 'mse_loss': 977.9445190429688, 'sparsity_loss': 54122.015625, 'l0': 4672.82763671875, 'dead_features': 56}
Step 2900: {'loss': 51559.0859375, 'mse_loss': 4155.931640625, 'sparsity_loss': 47403.15625, 'l0': 4374.453125, 'dead_features': 79}
Step 3000: {'loss': 47244.1640625, 'mse_loss': 948.927001953125, 'sparsity_loss': 46295.23828125, 'l0': 4323.265625, 'dead_features': 77}
Step 3100: {'loss': 49212.46484375, 'mse_loss': 801.278564453125, 'sparsity_loss': 48411.1875, 'l0': 4420.50830078125, 'dead_features': 110}
Step 3200: {'loss': 37357.3828125, 'mse_loss': 1979.8516845703125, 'sparsity_loss': 35377.53125, 'l0': 3781.783203125, 'dead_features': 133}
Step 3300: {'loss': 34588.3125, 'mse_loss': 2632.5205078125, 'sparsity_loss': 31955.791015625, 'l0': 3595.236328125, 'dead_features': 139}
Step 3400: {'loss': 38149.125, 'mse_loss': 1088.3990478515625, 'sparsity_loss': 37060.7265625, 'l0': 3870.232421875, 'dead_features': 176}
Step 3500: {'loss': 42412.28515625, 'mse_loss': 888.0306396484375, 'sparsity_loss': 41524.25390625, 'l0': 4095.5, 'dead_features': 208}
Step 3600: {'loss': 34931.9375, 'mse_loss': 1887.5875244140625, 'sparsity_loss': 33044.3515625, 'l0': 3655.62109375, 'dead_features': 254}
Step 3700: {'loss': 39348.765625, 'mse_loss': 1007.8120727539062, 'sparsity_loss': 38340.953125, 'l0': 3936.1689453125, 'dead_features': 287}
Step 3800: {'loss': 38056.1640625, 'mse_loss': 926.749267578125, 'sparsity_loss': 37129.4140625, 'l0': 3873.798828125, 'dead_features': 381}
Step 3900: {'loss': 30996.12890625, 'mse_loss': 2059.790771484375, 'sparsity_loss': 28936.337890625, 'l0': 3422.13671875, 'dead_features': 452}
Step 4000: {'loss': 29929.115234375, 'mse_loss': 2118.845703125, 'sparsity_loss': 27810.26953125, 'l0': 3355.2822265625, 'dead_features': 468}
Step 4100: {'loss': 33362.0234375, 'mse_loss': 1985.50537109375, 'sparsity_loss': 31376.51953125, 'l0': 3562.68359375, 'dead_features': 516}
Step 4200: {'loss': 33141.9609375, 'mse_loss': 1828.92138671875, 'sparsity_loss': 31313.041015625, 'l0': 3559.09814453125, 'dead_features': 565}
Step 4300: {'loss': 31392.1875, 'mse_loss': 1701.33544921875, 'sparsity_loss': 29690.8515625, 'l0': 3466.20654296875, 'dead_features': 628}
Step 4400: {'loss': 29966.794921875, 'mse_loss': 2331.359619140625, 'sparsity_loss': 27635.435546875, 'l0': 3344.78173828125, 'dead_features': 675}
Step 4500: {'loss': 32257.015625, 'mse_loss': 1398.03662109375, 'sparsity_loss': 30858.978515625, 'l0': 3533.3447265625, 'dead_features': 763}
Step 4600: {'loss': 32466.505859375, 'mse_loss': 1351.8204345703125, 'sparsity_loss': 31114.685546875, 'l0': 3547.87109375, 'dead_features': 876}
Step 4700: {'loss': 29290.54296875, 'mse_loss': 1169.25048828125, 'sparsity_loss': 28121.29296875, 'l0': 3373.880859375, 'dead_features': 935}
